,Trial,Hit/Miss,Peak Frequency,Lower Frequency Bound,Upper Frequency Bound,Frequency Span,Peak Time,Event Onset Time,Event Offset Time,Event Duration,Peak Power,Normalized Peak Power,Outlier Event,ob,obpres,contact,grip,event_name,window
1501,109,1463.5786666666668,23,19,27,8,0.103,0.036,0.152,0.116,889.1074366740797,10.554413022906928,True,1,1463.5786666666668,1464.9071333333334,2,obpres,"(-0.5, 0)"
1513,110,1472.4692666666667,20,17,24,7,0.348,0.284,0.423,0.139,2139.587623982298,18.22976499007966,True,0,1472.4692666666667,1473.7664666666667,3,obpres,"(-0.5, 0)"
1,0,20.8223,16,12,20,8,0.084,0.013,0.161,0.148,774.177219287024,9.54572055139069,True,1,20.8223,24.728366666666666,2,obpres,"(0, 0.5)"
38,3,63.8221,17,13,21,8,0.124,0.061,0.188,0.127,757.1412778106196,8.518777058226247,True,0,63.8221,67.49333333333334,3,obpres,"(0, 0.5)"
62,5,107.4156,17,13,22,9,0.164,0.094,0.231,0.137,1039.415012008247,11.694706150318437,True,1,107.4156,111.02426666666666,1,obpres,"(0, 0.5)"
84,7,152.2904,15,12,19,7,0.179,0.089,0.255,0.166,558.5445829254066,7.927068639824811,True,0,152.2904,155.899,1,obpres,"(0, 0.5)"
85,7,152.2904,16,13,20,7,0.201,0.121,0.273,0.152,577.4294678372045,7.119791438953,True,0,152.2904,155.899,1,obpres,"(0, 0.5)"
86,7,152.2904,17,13,20,7,0.219,0.149,0.3,0.151,571.3662341963309,6.428577744158171,True,0,152.2904,155.899,1,obpres,"(0, 0.5)"
107,9,193.66503333333333,17,14,21,7,0.185,0.112,0.259,0.147,993.2119831119023,11.174864855017676,True,1,193.66503333333333,197.2586,1,obpres,"(0, 0.5)"
122,10,218.8676,19,15,22,7,0.091,0.015,0.16,0.145,1159.4201953694999,12.102959514583638,True,0,218.8676,222.4772,3,obpres,"(0, 0.5)"
134,11,228.44606666666667,15,12,18,6,0.112,0.007,0.211,0.204,603.8922425638286,8.570659181382695,True,0,228.44606666666667,231.99236666666667,3,obpres,"(0, 0.5)"
135,11,228.44606666666667,16,13,20,7,0.156,0.047,0.246,0.199,589.1092277210614,7.263804619890202,True,0,228.44606666666667,231.99236666666667,3,obpres,"(0, 0.5)"
136,11,228.44606666666667,17,14,20,6,0.182,0.105,0.279,0.174,585.6468866334512,6.589252769973198,True,0,228.44606666666667,231.99236666666667,3,obpres,"(0, 0.5)"
179,14,258.5236,15,12,19,7,0.091,0.017,0.16,0.143,550.4667340984125,7.812424860131647,True,1,258.5236,262.10196666666667,2,obpres,"(0, 0.5)"
180,14,258.5236,16,12,19,7,0.099,0.025,0.166,0.141,550.7913725308449,6.791339751818628,True,1,258.5236,262.10196666666667,2,obpres,"(0, 0.5)"
208,16,279.6333333333333,20,17,40,23,0.199,0.138,0.269,0.131,1148.0879926635505,12.515962089204052,True,0,279.6333333333333,283.21073333333334,1,obpres,"(0, 0.5)"
250,19,312.32053333333334,22,19,27,8,0.153,0.083,0.217,0.134,534.0565489884048,7.008638451486536,True,0,312.32053333333334,315.9141333333333,1,obpres,"(0, 0.5)"
263,20,337.49176666666665,16,13,19,6,0.088,0.006,0.194,0.188,592.7157891539827,7.3082740601325735,True,1,337.49176666666665,339.1792,1,obpres,"(0, 0.5)"
278,21,343.6480666666667,21,17,25,8,0.081,0.011,0.151,0.14,572.0051703709237,6.847191419476488,True,1,343.6480666666667,345.2264333333333,2,obpres,"(0, 0.5)"
302,23,359.1166333333333,17,14,20,6,0.169,0.085,0.244,0.159,1177.3736524280234,13.246911710145321,True,0,359.1166333333333,360.42906666666664,3,obpres,"(0, 0.5)"
380,28,410.3351,18,14,22,8,0.064,0.003,0.128,0.125,1514.5073825458005,15.83806247054803,True,1,410.3351,411.7885333333333,1,obpres,"(0, 0.5)"
417,31,432.38183333333336,15,13,19,6,0.152,0.039,0.281,0.242,1092.5492224970967,15.505857444289903,True,0,432.38183333333336,433.74153333333334,1,obpres,"(0, 0.5)"
428,32,441.0849,17,14,22,8,0.167,0.084,0.241,0.157,861.9217565969666,9.697687210128382,True,1,441.0849,442.5696,1,obpres,"(0, 0.5)"
429,32,441.0849,26,21,31,10,0.039,0.0,0.091,0.106,463.0428720322121,7.535050682370375,True,1,441.0849,442.5696,1,obpres,"(0, 0.5)"
430,32,441.0849,28,24,33,9,0.442,0.387,0.499,0.112,447.7107183785952,7.0185969992529955,True,1,441.0849,442.5696,1,obpres,"(0, 0.5)"
480,36,492.97523333333334,18,15,22,7,0.123,0.058,0.187,0.129,754.3564642203918,7.888733289170999,True,1,492.97523333333334,494.5688333333333,1,obpres,"(0, 0.5)"
482,36,492.97523333333334,27,22,32,10,0.064,0.015,0.115,0.1,905.1917993052609,14.571791019680854,True,1,492.97523333333334,494.5688333333333,1,obpres,"(0, 0.5)"
